zone,year,month,temperature,rainfall,humidity
North,2019,1,11.2,16.5,53.5
North,2019,2,14.5,18.4,55.2
North,2019,3,21.5,14.9,42.3
North,2019,4,35.4,9.9,24.6
North,2019,5,41.9,16.4,29.3
North,2019,6,42.9,65.7,50.4
North,2019,7,31.6,165.1,78.6
North,2019,8,30.9,289.9,80.5
North,2019,9,28.4,108.9,64.3
North,2019,10,25.4,20.7,51.7
North,2019,11,18.2,4.7,55.1
North,2019,12,12.4,8.4,64.8
North,2020,1,12.3,20.1,64.1
North,2020,2,12.9,23.5,50.0
North,2020,3,20.7,9.8,42.2
North,2020,4,34.6,11.2,28.5
North,2020,5,38.9,22.8,22.8
North,2020,6,40.9,96.3,36.7
North,2020,7,32.4,266.2,74.8
North,2020,8,30.7,328.2,81.0
North,2020,9,29.4,126.6,65.0
North,2020,10,25.8,24.6,49.5
North,2020,11,18.2,5.1,55.7
North,2020,12,13.7,8.5,62.1
North,2021,1,10.3,20.6,63.2
North,2021,2,17.4,15.1,68.0
North,2021,3,21.2,13.3,48.5
North,2021,4,38.6,7.4,34.4
North,2021,5,40.7,26.4,25.2
North,2021,6,41.7,54.1,46.5
North,2021,7,31.5,251.7,77.1
North,2021,8,31.5,320.9,76.9
North,2021,9,28.5,148.6,70.1
North,2021,10,26.3,15.2,53.9
North,2021,11,19.2,5.3,61.3
North,2021,12,14.7,10.2,58.2
North,2022,1,12.0,15.3,64.4
North,2022,2,17.5,19.5,55.6
North,2022,3,21.5,16.1,48.3
North,2022,4,36.9,8.4,26.5
North,2022,5,38.5,22.8,26.6
North,2022,6,42.4,86.7,44.7
North,2022,7,31.1,175.5,80.1
North,2022,8,29.9,217.6,69.2
North,2022,9,28.8,132.3,67.0
North,2022,10,23.5,21.9,52.9
North,2022,11,17.6,4.1,57.1
North,2022,12,13.0,9.9,64.8
North,2023,1,11.7,19.0,57.3
North,2023,2,16.9,21.1,51.3
North,2023,3,20.7,18.8,47.7
North,2023,4,36.3,6.9,30.0
North,2023,5,40.7,16.3,23.5
North,2023,6,42.7,74.3,50.5
North,2023,7,31.5,176.9,71.5
North,2023,8,28.7,117.8,81.1
North,2023,9,27.7,68.4,60.8
North,2023,10,24.3,17.7,44.5
North,2023,11,18.7,3.3,49.4
North,2023,12,13.8,11.2,59.8
North,2024,1,13.4,12.7,61.9
North,2024,2,14.7,19.9,55.7
North,2024,3,20.5,15.3,44.4
North,2024,4,34.9,6.3,25.5
North,2024,5,40.7,15.8,22.9
North,2024,6,42.3,61.0,47.0
North,2024,7,32.2,217.2,79.4
North,2024,8,30.8,216.2,81.4
North,2024,9,28.9,102.0,74.7
North,2024,10,26.5,22.2,48.7
North,2024,11,19.2,6.0,57.6
North,2024,12,13.0,9.4,62.2
South,2014,1,23.8,15.1,64.7
South,2014,2,27.1,7.1,63.4
South,2014,3,30.0,9.7,64.4
South,2014,4,33.8,43.9,57.2
South,2014,5,35.2,49.3,55.0
South,2014,6,35.4,128.8,66.0
South,2014,7,29.4,155.3,80.3
South,2014,8,27.0,147.5,81.8
South,2014,9,26.3,229.4,80.9
South,2014,10,26.4,222.8,78.5
South,2014,11,23.4,161.2,72.2
South,2014,12,26.5,56.5,69.1
South,2015,1,25.6,13.4,65.8
South,2015,2,26.7,10.9,57.8
South,2015,3,28.2,11.3,62.0
South,2015,4,33.6,37.3,58.4
South,2015,5,36.4,69.8,60.9
South,2015,6,36.6,92.2,69.1
South,2015,7,27.1,110.7,76.5
South,2015,8,28.4,108.8,77.2
South,2015,9,26.8,115.6,89.1
South,2015,10,27.0,258.7,83.0
South,2015,11,25.4,152.2,72.3
South,2015,12,25.5,59.9,68.0
South,2016,1,22.9,16.0,62.8
South,2016,2,26.5,8.8,61.4
South,2016,3,28.0,11.2,50.6
South,2016,4,33.4,46.8,54.7
South,2016,5,37.2,70.6,59.7
South,2016,6,34.3,172.2,75.5
South,2016,7,27.9,239.8,81.7
South,2016,8,27.1,203.4,78.5
South,2016,9,27.8,227.3,87.1
South,2016,10,28.0,226.4,76.1
South,2016,11,25.0,200.5,78.1
South,2016,12,24.7,64.4,66.7
South,2017,1,25.2,16.3,68.6
South,2017,2,26.7,11.1,66.9
South,2017,3,27.3,11.9,57.2
South,2017,4,31.9,43.6,57.7
South,2017,5,37.1,71.7,54.1
South,2017,6,36.9,129.2,67.6
South,2017,7,27.6,210.2,80.1
South,2017,8,26.2,158.1,79.3
South,2017,9,28.0,181.5,79.3
South,2017,10,28.1,229.2,81.8
South,2017,11,24.7,182.9,75.7
South,2017,12,23.0,56.5,71.6
South,2018,1,25.0,15.5,58.2
South,2018,2,25.3,10.8,67.6
South,2018,3,29.1,12.1,61.9
South,2018,4,33.0,58.5,55.2
South,2018,5,35.0,50.9,54.5
South,2018,6,34.1,94.1,66.3
South,2018,7,27.0,168.0,76.8
South,2018,8,28.0,132.7,67.3
South,2018,9,26.9,115.7,85.9
South,2018,10,28.4,188.4,82.6
South,2018,11,26.3,150.7,77.1
South,2018,12,26.1,73.2,69.3
South,2019,1,23.7,13.8,56.5
South,2019,2,25.5,9.2,60.2
South,2019,3,28.5,11.9,55.3
South,2019,4,32.4,44.4,54.6
South,2019,5,38.9,59.3,59.3
South,2019,6,36.4,122.6,70.4
South,2019,7,28.6,141.5,81.6
South,2019,8,28.4,203.6,80.5
South,2019,9,26.9,177.0,76.3
South,2019,10,27.4,228.1,81.7
South,2019,11,25.2,166.0,78.1
South,2019,12,23.9,50.2,72.8
South,2020,1,24.8,16.7,67.1
South,2020,2,23.9,11.8,55.0
South,2020,3,27.7,7.8,55.2
South,2020,4,31.6,50.5,58.5
South,2020,5,35.9,82.5,52.8
South,2020,6,34.4,179.7,56.7
South,2020,7,29.4,228.1,77.8
South,2020,8,28.2,230.4,81.0
South,2020,9,27.9,205.7,77.0
South,2020,10,27.8,270.8,79.5
South,2020,11,25.2,179.3,78.7
South,2020,12,25.2,51.3,70.1
South,2021,1,22.8,17.1,66.2
South,2021,2,28.4,7.6,73.0
South,2021,3,28.2,10.6,61.5
South,2021,4,35.6,33.1,64.4
South,2021,5,37.7,95.3,55.2
South,2021,6,35.2,101.0,66.5
South,2021,7,28.5,215.8,80.1
South,2021,8,29.0,225.3,76.9
South,2021,9,27.0,241.5,82.1
South,2021,10,28.3,167.6,83.9
South,2021,11,26.2,184.7,84.3
South,2021,12,26.2,61.1,66.2
South,2022,1,24.5,12.8,67.4
South,2022,2,28.5,9.7,60.6
South,2022,3,28.5,12.9,61.3
South,2022,4,33.9,37.7,56.5
South,2022,5,35.5,82.4,56.6
South,2022,6,35.9,161.9,64.7
South,2022,7,28.1,150.5,83.1
South,2022,8,27.4,152.8,69.2
South,2022,9,27.3,215.1,79.0
South,2022,10,25.5,240.7,82.9
South,2022,11,24.6,143.7,80.1
South,2022,12,24.5,59.5,72.8
South,2023,1,24.2,15.9,60.3
South,2023,2,27.9,10.6,56.3
South,2023,3,27.7,15.1,60.7
South,2023,4,33.3,31.3,60.0
South,2023,5,37.7,58.9,53.5
South,2023,6,36.2,138.7,70.5
South,2023,7,28.5,151.6,74.5
South,2023,8,26.2,82.7,81.1
South,2023,9,26.2,111.2,72.8
South,2023,10,26.3,195.2,74.5
South,2023,11,25.7,115.6,72.4
South,2023,12,25.3,67.4,67.8
South,2024,1,25.9,10.6,64.9
South,2024,2,25.7,9.9,60.7
South,2024,3,27.5,12.3,57.4
South,2024,4,31.9,28.2,55.5
South,2024,5,37.7,57.0,52.9
South,2024,6,35.8,113.8,67.0
South,2024,7,29.2,186.2,82.4
South,2024,8,28.3,151.8,81.4
South,2024,9,27.4,165.7,86.7
South,2024,10,28.5,244.6,78.7
South,2024,11,26.2,208.4,80.6
South,2024,12,24.5,56.3,70.2
East,2014,1,15.8,12.1,64.7
East,2014,2,21.1,12.8,61.4
East,2014,3,27.5,16.1,54.4
East,2014,4,37.3,37.1,44.2
East,2014,5,38.7,41.7,48.0
East,2014,6,37.9,179.4,68.0
East,2014,7,30.9,250.3,84.3
East,2014,8,28.5,277.0,88.8
East,2014,9,27.8,252.9,80.9
East,2014,10,25.9,86.1,68.5
East,2014,11,19.4,13.8,59.2
East,2014,12,19.0,7.5,64.1
East,2015,1,17.6,10.7,65.8
East,2015,2,20.7,19.6,55.8
East,2015,3,25.7,18.9,52.0
East,2015,4,37.1,31.5,45.4
East,2015,5,39.9,59.0,53.9
East,2015,6,39.1,128.4,71.1
East,2015,7,28.6,178.3,80.5
East,2015,8,29.9,204.4,84.2
East,2015,9,28.3,127.5,89.1
East,2015,10,26.5,99.9,73.0
East,2015,11,21.4,13.0,59.3
East,2015,12,18.0,8.0,63.0
East,2016,1,14.9,12.8,62.8
East,2016,2,20.5,15.9,59.4
East,2016,3,25.5,18.6,40.6
East,2016,4,36.9,39.5,41.7
East,2016,5,40.7,59.7,52.7
East,2016,6,36.8,239.8,77.5
East,2016,7,29.4,386.3,85.7
East,2016,8,28.6,382.1,85.5
East,2016,9,29.3,250.6,87.1
East,2016,10,27.5,87.5,66.1
East,2016,11,21.0,17.2,65.1
East,2016,12,17.2,8.6,61.7
East,2017,1,17.2,13.0,68.6
East,2017,2,20.7,19.9,64.9
East,2017,3,24.8,19.9,47.2
East,2017,4,35.4,36.8,44.7
East,2017,5,40.6,60.7,47.1
East,2017,6,39.4,179.9,69.6
East,2017,7,29.1,338.7,84.1
East,2017,8,27.7,297.1,86.3
East,2017,9,29.5,200.1,79.3
East,2017,10,27.6,88.6,71.8
East,2017,11,20.7,15.7,62.7
East,2017,12,15.5,7.5,66.6
East,2018,1,17.0,12.4,58.2
East,2018,2,19.3,19.4,65.6
East,2018,3,26.6,20.2,51.9
East,2018,4,36.5,49.4,42.2
East,2018,5,38.5,43.0,47.5
East,2018,6,36.6,131.1,68.3
East,2018,7,28.5,270.7,80.8
East,2018,8,29.5,249.3,74.3
East,2018,9,28.4,127.5,85.9
East,2018,10,27.9,72.8,72.6
East,2018,11,22.3,12.9,64.1
East,2018,12,18.6,9.8,64.3
East,2019,1,15.7,11.0,56.5
East,2019,2,19.5,16.5,58.2
East,2019,3,26.0,19.9,45.3
East,2019,4,35.9,37.5,41.6
East,2019,5,42.4,50.2,52.3
East,2019,6,38.9,170.7,72.4
East,2019,7,30.1,227.9,85.6
East,2019,8,29.9,382.5,87.5
East,2019,9,28.4,195.1,76.3
East,2019,10,26.9,88.1,71.7
East,2019,11,21.2,14.2,65.1
East,2019,12,16.4,6.7,67.8
East,2020,1,16.8,13.4,67.1
East,2020,2,17.9,21.2,53.0
East,2020,3,25.2,13.0,45.2
East,2020,4,35.1,42.7,45.5
East,2020,5,39.4,69.8,45.8
East,2020,6,36.9,250.3,58.7
East,2020,7,30.9,367.6,81.8
East,2020,8,29.7,432.9,88.0
East,2020,9,29.4,226.8,77.0
East,2020,10,27.3,104.6,69.5
East,2020,11,21.2,15.4,65.7
East,2020,12,17.7,6.8,65.1
East,2021,1,14.8,13.7,66.2
East,2021,2,22.4,13.6,71.0
East,2021,3,25.7,17.7,51.5
East,2021,4,39.1,27.9,51.4
East,2021,5,41.2,80.6,48.2
East,2021,6,37.7,140.7,68.5
East,2021,7,30.0,347.6,84.1
East,2021,8,30.5,423.4,83.9
East,2021,9,28.5,266.2,82.1
East,2021,10,27.8,64.8,73.9
East,2021,11,22.2,15.8,71.3
East,2021,12,18.7,8.1,61.2
East,2022,1,16.5,10.2,67.4
East,2022,2,22.5,17.5,58.6
East,2022,3,26.0,21.5,51.3
East,2022,4,37.4,31.9,43.5
East,2022,5,39.0,69.7,49.6
East,2022,6,38.4,225.5,66.7
East,2022,7,29.6,242.4,87.1
East,2022,8,28.9,287.0,76.2
East,2022,9,28.8,237.1,79.0
East,2022,10,25.0,93.0,72.9
East,2022,11,20.6,12.3,67.1
East,2022,12,17.0,7.9,67.8
East,2023,1,16.2,12.7,60.3
East,2023,2,21.9,19.0,54.3
East,2023,3,25.2,25.1,50.7
East,2023,4,36.8,26.4,47.0
East,2023,5,41.2,49.8,46.5
East,2023,6,38.7,193.1,72.5
East,2023,7,30.0,244.3,78.5
East,2023,8,27.7,155.4,88.1
East,2023,9,27.7,122.6,72.8
East,2023,10,25.8,75.4,64.5
East,2023,11,21.7,9.9,59.4
East,2023,12,17.8,9.0,62.8
East,2024,1,17.9,8.4,64.9
East,2024,2,19.7,17.9,58.7
East,2024,3,25.0,20.4,47.4
East,2024,4,35.4,23.8,42.5
East,2024,5,41.2,48.2,45.9
East,2024,6,38.3,158.5,69.0
East,2024,7,30.7,300.0,86.4
East,2024,8,29.8,285.1,88.4
East,2024,9,28.9,182.7,86.7
East,2024,10,28.0,94.5,68.7
East,2024,11,22.2,17.9,67.6
East,2024,12,17.0,7.5,65.2
West,2014,1,18.8,3.0,39.7
West,2014,2,23.1,2.1,38.4
West,2014,3,28.5,1.6,34.4
West,2014,4,38.3,4.9,21.2
West,2014,5,40.2,6.1,25.0
West,2014,6,40.4,101.2,53.0
West,2014,7,30.9,224.4,80.3
West,2014,8,28.0,196.6,83.8
West,2014,9,27.8,170.6,72.9
West,2014,10,27.4,30.4,51.5
West,2014,11,22.4,7.4,36.2
West,2014,12,23.0,2.8,39.1
West,2015,1,20.6,2.7,40.8
West,2015,2,22.7,3.3,32.8
West,2015,3,26.7,1.9,32.0
West,2015,4,38.1,4.1,22.4
West,2015,5,41.4,8.6,30.9
West,2015,6,41.6,72.4,56.1
West,2015,7,28.6,159.9,76.5
West,2015,8,29.4,145.0,79.2
West,2015,9,28.3,86.0,81.1
West,2015,10,28.0,35.3,56.0
West,2015,11,24.4,7.0,36.3
West,2015,12,22.0,3.0,38.0
West,2016,1,17.9,3.2,37.8
West,2016,2,22.5,2.7,36.4
West,2016,3,26.5,1.9,20.6
West,2016,4,37.9,5.2,18.7
West,2016,5,42.2,8.7,29.7
West,2016,6,39.3,135.3,62.5
West,2016,7,29.4,346.4,81.7
West,2016,8,28.1,271.1,80.5
West,2016,9,29.3,169.0,79.1
West,2016,10,29.0,30.9,49.1
West,2016,11,24.0,9.2,42.1
West,2016,12,21.2,3.2,36.7
West,2017,1,20.2,3.3,43.6
West,2017,2,22.7,3.3,41.9
West,2017,3,25.8,2.0,27.2
West,2017,4,36.4,4.8,21.7
West,2017,5,42.1,8.8,24.1
West,2017,6,41.9,101.5,54.6
West,2017,7,29.1,303.7,80.1
West,2017,8,27.2,210.8,81.3
West,2017,9,29.5,134.9,71.3
West,2017,10,29.1,31.3,54.8
West,2017,11,23.7,8.4,39.7
West,2017,12,19.5,2.8,41.6
West,2018,1,20.0,3.1,33.2
West,2018,2,21.3,3.2,42.6
West,2018,3,27.6,2.0,31.9
West,2018,4,37.5,6.5,19.2
West,2018,5,40.0,6.3,24.5
West,2018,6,39.1,74.0,53.3
West,2018,7,28.5,242.7,76.8
West,2018,8,29.0,176.9,69.3
West,2018,9,28.4,86.0,77.9
West,2018,10,29.4,25.7,55.6
West,2018,11,25.3,6.9,41.1
West,2018,12,22.6,3.7,39.3
West,2019,1,18.7,2.8,31.5
West,2019,2,21.5,2.8,35.2
West,2019,3,27.0,2.0,25.3
West,2019,4,36.9,4.9,18.6
West,2019,5,43.9,7.3,29.3
West,2019,6,41.4,96.3,57.4
West,2019,7,30.1,204.4,81.6
West,2019,8,29.4,271.4,82.5
West,2019,9,28.4,131.6,68.3
West,2019,10,28.4,31.1,54.7
West,2019,11,24.2,7.6,42.1
West,2019,12,20.4,2.5,42.8
West,2020,1,19.8,3.3,42.1
West,2020,2,19.9,3.5,30.0
West,2020,3,26.2,1.3,25.2
West,2020,4,36.1,5.6,22.5
West,2020,5,40.9,10.2,22.8
West,2020,6,39.4,141.2,43.7
West,2020,7,30.9,329.5,77.8
West,2020,8,29.2,307.2,83.0
West,2020,9,29.4,152.9,69.0
West,2020,10,28.8,36.9,52.5
West,2020,11,24.2,8.2,42.7
West,2020,12,21.7,2.6,40.1
West,2021,1,17.8,3.4,41.2
West,2021,2,24.4,2.3,48.0
West,2021,3,26.7,1.8,31.5
West,2021,4,40.1,3.7,28.4
West,2021,5,42.7,11.7,25.2
West,2021,6,40.2,79.4,53.5
West,2021,7,30.0,311.7,80.1
West,2021,8,30.0,300.5,78.9
West,2021,9,28.5,179.5,74.1
West,2021,10,29.3,22.9,56.9
West,2021,11,25.2,8.4,48.3
West,2021,12,22.7,3.1,36.2
West,2022,1,19.5,2.6,42.4
West,2022,2,24.5,2.9,35.6
West,2022,3,27.0,2.1,31.3
West,2022,4,38.4,4.2,20.5
West,2022,5,40.5,10.1,26.6
West,2022,6,40.9,127.2,51.7
West,2022,7,29.6,217.3,83.1
West,2022,8,28.4,203.7,71.2
West,2022,9,28.8,159.9,71.0
West,2022,10,26.5,32.8,55.9
West,2022,11,23.6,6.6,44.1
West,2022,12,21.0,3.0,42.8
West,2023,1,19.2,3.2,35.3
West,2023,2,23.9,3.2,31.3
West,2023,3,26.2,2.5,30.7
West,2023,4,37.8,3.5,24.0
West,2023,5,42.7,7.2,23.5
West,2023,6,41.2,108.9,57.5
West,2023,7,30.0,219.0,74.5
West,2023,8,27.2,110.3,83.1
West,2023,9,27.7,82.7,64.8
West,2023,10,27.3,26.6,47.5
West,2023,11,24.7,5.3,36.4
West,2023,12,21.8,3.4,37.8
West,2024,1,20.9,2.1,39.9
West,2024,2,21.7,3.0,35.7
West,2024,3,26.0,2.0,27.4
West,2024,4,36.4,3.1,19.5
West,2024,5,42.7,7.0,22.9
West,2024,6,40.8,89.4,54.0
West,2024,7,30.7,269.0,82.4
West,2024,8,29.3,202.4,83.4
West,2024,9,28.9,123.2,78.7
West,2024,10,29.5,33.4,51.7
West,2024,11,25.2,9.5,44.6
West,2024,12,21.0,2.8,40.2
Central,2014,1,15.3,12.1,54.7
Central,2014,2,20.1,7.1,48.4
Central,2014,3,26.5,6.4,38.4
Central,2014,4,39.3,4.9,19.2
Central,2014,5,41.2,7.6,18.0
Central,2014,6,40.9,119.6,50.0
Central,2014,7,29.9,267.5,82.3
Central,2014,8,27.0,303.8,87.8
Central,2014,9,26.3,229.4,78.9
Central,2014,10,24.4,35.4,54.5
Central,2014,11,17.9,9.2,44.2
Central,2014,12,18.5,7.5,54.1
Central,2015,1,17.1,10.7,55.8
Central,2015,2,19.7,10.9,42.8
Central,2015,3,24.7,7.5,36.0
Central,2015,4,39.1,4.1,20.4
Central,2015,5,42.4,10.7,23.9
Central,2015,6,42.1,85.6,53.1
Central,2015,7,27.6,190.6,78.5
Central,2015,8,28.4,224.2,83.2
Central,2015,9,26.8,115.6,87.1
Central,2015,10,25.0,41.2,59.0
Central,2015,11,19.9,8.7,44.3
Central,2015,12,17.5,8.0,53.0
Central,2016,1,14.4,12.8,52.8
Central,2016,2,19.5,8.8,46.4
Central,2016,3,24.5,7.4,24.6
Central,2016,4,38.9,5.2,16.7
Central,2016,5,43.2,10.9,22.7
Central,2016,6,39.8,159.9,59.5
Central,2016,7,28.4,413.0,83.7
Central,2016,8,27.1,419.0,84.5
Central,2016,9,27.8,227.3,85.1
Central,2016,10,26.0,36.0,52.1
Central,2016,11,19.5,11.5,50.1
Central,2016,12,16.7,8.6,51.7
Central,2017,1,16.7,13.0,58.6
Central,2017,2,19.7,11.1,51.9
Central,2017,3,23.8,8.0,31.2
Central,2017,4,37.4,4.8,19.7
Central,2017,5,43.1,11.0,17.1
Central,2017,6,42.4,119.9,51.6
Central,2017,7,28.1,362.1,82.1
Central,2017,8,26.2,325.8,85.3
Central,2017,9,28.0,181.5,77.3
Central,2017,10,26.1,36.5,57.8
Central,2017,11,19.2,10.5,47.7
Central,2017,12,15.0,7.5,56.6
Central,2018,1,16.5,12.4,48.2
Central,2018,2,18.3,10.8,52.6
Central,2018,3,25.6,8.1,35.9
Central,2018,4,38.5,6.5,17.2
Central,2018,5,41.0,7.8,17.5
Central,2018,6,39.6,87.4,50.3
Central,2018,7,27.5,289.3,78.8
Central,2018,8,28.0,273.4,73.3
Central,2018,9,26.9,115.7,83.9
Central,2018,10,26.4,30.0,58.6
Central,2018,11,20.8,8.6,49.1
Central,2018,12,18.1,9.8,54.3
Central,2019,1,15.2,11.0,46.5
Central,2019,2,18.5,9.2,45.2
Central,2019,3,25.0,8.0,29.3
Central,2019,4,37.9,4.9,16.6
Central,2019,5,44.9,9.1,22.3
Central,2019,6,41.9,113.8,54.4
Central,2019,7,29.1,243.7,83.6
Central,2019,8,28.4,419.5,86.5
Central,2019,9,26.9,177.0,74.3
Central,2019,10,25.4,36.3,57.7
Central,2019,11,19.7,9.5,50.1
Central,2019,12,15.9,6.7,57.8
Central,2020,1,16.3,13.4,57.1
Central,2020,2,16.9,11.8,40.0
Central,2020,3,24.2,5.2,29.2
Central,2020,4,37.1,5.6,20.5
Central,2020,5,41.9,12.7,15.8
Central,2020,6,39.9,166.8,40.7
Central,2020,7,29.9,392.9,79.8
Central,2020,8,28.2,474.8,87.0
Central,2020,9,27.9,205.7,75.0
Central,2020,10,25.8,43.1,55.5
Central,2020,11,19.7,10.2,50.7
Central,2020,12,17.2,6.8,55.1
Central,2021,1,14.3,13.7,56.2
Central,2021,2,21.4,7.6,58.0
Central,2021,3,24.7,7.1,35.5
Central,2021,4,41.1,3.7,26.4
Central,2021,5,43.7,14.7,18.2
Central,2021,6,40.7,93.8,50.5
Central,2021,7,29.0,371.6,82.1
Central,2021,8,29.0,464.3,82.9
Central,2021,9,27.0,241.5,80.1
Central,2021,10,26.3,26.7,59.9
Central,2021,11,20.7,10.6,56.3
Central,2021,12,18.2,8.1,51.2
Central,2022,1,16.0,10.2,57.4
Central,2022,2,21.5,9.7,45.6
Central,2022,3,25.0,8.6,35.3
Central,2022,4,39.4,4.2,18.5
Central,2022,5,41.5,12.7,19.6
Central,2022,6,41.4,150.3,48.7
Central,2022,7,28.6,259.1,85.1
Central,2022,8,27.4,314.8,75.2
Central,2022,9,27.3,215.1,77.0
Central,2022,10,23.5,38.3,58.9
Central,2022,11,19.1,8.2,52.1
Central,2022,12,16.5,7.9,57.8
Central,2023,1,15.7,12.7,50.3
Central,2023,2,20.9,10.6,41.3
Central,2023,3,24.2,10.1,34.7
Central,2023,4,38.8,3.5,22.0
Central,2023,5,43.7,9.1,16.5
Central,2023,6,41.7,128.8,54.5
Central,2023,7,29.0,261.2,76.5
Central,2023,8,26.2,170.5,87.1
Central,2023,9,26.2,111.2,70.8
Central,2023,10,24.3,31.1,50.5
Central,2023,11,20.2,6.6,44.4
Central,2023,12,17.3,9.0,52.8
Central,2024,1,17.4,8.4,54.9
Central,2024,2,18.7,9.9,45.7
Central,2024,3,24.0,8.2,31.4
Central,2024,4,37.4,3.1,17.5
Central,2024,5,43.7,8.8,15.9
Central,2024,6,41.3,105.7,51.0
Central,2024,7,29.7,320.7,84.4
Central,2024,8,28.3,312.7,87.4
Central,2024,9,27.4,165.7,84.7
Central,2024,10,26.5,38.9,54.7
Central,2024,11,20.7,11.9,52.6
Central,2024,12,16.5,7.5,55.2
Northeast,2014,1,13.8,12.1,71.7
Northeast,2014,2,17.6,17.8,68.4
Northeast,2014,3,22.5,52.4,66.4
Northeast,2014,4,23.8,151.3,69.2
Northeast,2014,5,23.2,201.1,78.0
Northeast,2014,6,26.9,312.9,83.0
Northeast,2014,7,29.4,327.9,90.3
Northeast,2014,8,27.5,286.0,90.8
Northeast,2014,9,26.3,282.3,84.9
Northeast,2014,10,23.4,121.5,74.5
Northeast,2014,11,16.9,18.4,66.2
Northeast,2014,12,17.0,4.7,71.1
Northeast,2015,1,15.6,10.7,72.8
Northeast,2015,2,17.2,27.3,62.8
Northeast,2015,3,20.7,61.3,64.0
Northeast,2015,4,23.6,128.4,70.4
Northeast,2015,5,24.4,284.5,83.9
Northeast,2015,6,28.1,223.9,86.1
Northeast,2015,7,27.1,233.7,86.5
Northeast,2015,8,28.9,211.0,86.2
Northeast,2015,9,26.8,142.3,93.1
Northeast,2015,10,24.0,141.1,79.0
Northeast,2015,11,18.9,17.4,66.3
Northeast,2015,12,16.0,5.0,70.0
Northeast,2016,1,12.9,12.8,69.8
Northeast,2016,2,17.0,22.1,66.4
Northeast,2016,3,20.5,60.5,52.6
Northeast,2016,4,23.4,161.2,66.7
Northeast,2016,5,25.2,287.7,82.7
Northeast,2016,6,25.8,418.1,92.5
Northeast,2016,7,27.9,506.2,91.7
Northeast,2016,8,27.6,394.4,87.5
Northeast,2016,9,27.8,279.7,91.1
Northeast,2016,10,25.0,123.5,72.1
Northeast,2016,11,18.5,22.9,72.1
Northeast,2016,12,15.2,5.4,68.7
Northeast,2017,1,15.2,13.0,75.6
Northeast,2017,2,17.2,27.7,71.9
Northeast,2017,3,19.8,64.6,59.2
Northeast,2017,4,21.9,150.1,69.7
Northeast,2017,5,25.1,292.5,77.1
Northeast,2017,6,28.4,313.7,84.6
Northeast,2017,7,27.6,443.8,90.1
Northeast,2017,8,26.7,306.6,88.3
Northeast,2017,9,28.0,223.4,83.3
Northeast,2017,10,25.1,125.0,77.8
Northeast,2017,11,18.2,20.9,69.7
Northeast,2017,12,13.5,4.7,73.6
Northeast,2018,1,15.0,12.4,65.2
Northeast,2018,2,15.8,26.9,72.6
Northeast,2018,3,21.6,65.7,63.9
Northeast,2018,4,23.0,201.5,67.2
Northeast,2018,5,23.0,207.4,77.5
Northeast,2018,6,25.6,228.6,83.3
Northeast,2018,7,27.0,354.7,86.8
Northeast,2018,8,28.5,257.3,76.3
Northeast,2018,9,26.9,142.4,89.9
Northeast,2018,10,25.4,102.8,78.6
